SDG Goal,SDG Goal Name,Indicator Code,Metric Name,Geography,Level,Year,Value,Unit,Source,Projected?
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2016,100,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2017,100,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2018,100,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2019,100,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2020,100,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2021,100,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2022,100,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2023,100,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2024,100,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2016,77.16,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2017,77.16,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2018,77.74,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2019,77.74,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2020,77.74,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2021,77.74,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2022,77.74,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2023,77.74,%,MahaSDB,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2024,77.74,%,MahaSDB,no
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2016,16.26,%,MahaSDB,no
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2017,18.17,%,MahaSDB,no
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2018,20.34,%,MahaSDB,no
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2019,23.62,%,MahaSDB,no
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2020,35.07,%,MahaSDB,no
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2021,52.39,%,MahaSDB,no
