sdg,indicator,unit,location,year,value,is_projected,ci_lower,ci_upper
SDG2 - Zero Hunger,% Cropped Area Irrigated (district),%,Wardha,2024,34.12,0,,
SDG2 - Zero Hunger,% children MAM (Moderately Acute Malnutrition),%,Arvi,2024,7.71,0,,
SDG2 - Zero Hunger,% children MAM (district),%,Wardha,2024,8.2,0,,
SDG2 - Zero Hunger,% children SAM (Severely Acute Malnutrition),%,Arvi,2024,1.4,0,,
SDG2 - Zero Hunger,% children SAM (district),%,Wardha,2024,1.5,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2016,0,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2017,14.29,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2018,14.29,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2019,14.29,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2020,57.14,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2021,57.14,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2022,57.14,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2023,57.14,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2024,57.14,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2025,54.17,0,,
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2029,88.439,1,56.057,100
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2037,98.801,1,66.42,100
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2047,99.938,1,67.557,100
SDG2 - Zero Hunger,% of Agriculture Mandis enrolled in e-market,%,Wardha,2060,99.999,1,67.617,100
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2016,14.09,0,,
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2017,12.42,0,,
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2018,11.17,0,,
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2019,11.07,0,,
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2020,10.98,0,,
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2021,10.14,0,,
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2022,8.99,0,,
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2023,9.11,0,,
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2024,7.99,0,,
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2025,7.361,1,7.247,7.474
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2029,4.719,1,4.531,4.907
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2037,0,1,0,-0.218
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2047,0,1,0,-6.622
SDG2 - Zero Hunger,% of children suffering from Moderately Acute Malnutrition (MAM),%,Wardha,2060,0,1,0,-14.945
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2016,3.24,0,,
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2017,2.57,0,,
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2018,2.24,0,,
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2019,2.15,0,,
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2020,2.27,0,,
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2021,1.83,0,,
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2022,1.79,0,,
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2023,1.9,0,,
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2024,1.47,0,,
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2025,1.303,1,1.252,1.354
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2029,0.616,1,0.531,0.701
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2037,0,1,0,-0.603
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2047,0,1,0,-2.231
SDG2 - Zero Hunger,% of children suffering from Severe Acute Malnutrition (SAM),%,Wardha,2060,0,1,0,-4.347
SDG2 - Zero Hunger,% of children under 5 years who are stunted,%,Wardha,2016,30.5,0,,
SDG2 - Zero Hunger,% of children under 5 years who are stunted,%,Wardha,2020,27.7,0,,
SDG2 - Zero Hunger,% of children under 5 years who are stunted,%,Wardha,2025,24.2,1,24.2,24.2
SDG2 - Zero Hunger,% of children under 5 years who are stunted,%,Wardha,2029,21.4,1,21.4,21.4
SDG2 - Zero Hunger,% of children under 5 years who are stunted,%,Wardha,2037,15.8,1,15.8,15.8
SDG2 - Zero Hunger,% of children under 5 years who are stunted,%,Wardha,2047,8.8,1,8.8,8.8
SDG2 - Zero Hunger,% of children under 5 years who are stunted,%,Wardha,2060,0,1,0,-0.3
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2016,17,0,,
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2017,14.69,0,,
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2018,13.16,0,,
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2019,12.96,0,,
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2020,12.99,0,,
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2021,11.73,0,,
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2022,10.56,0,,
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2023,10.79,0,,
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2024,9.28,0,,
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2025,8.489,1,8.332,8.646
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2029,5.222,1,4.961,5.483
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2037,0,1,0,-0.834
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2047,0,1,0,-8.725
SDG2 - Zero Hunger,% of children under 5 years who are underweight,%,Wardha,2060,0,1,0,-18.983
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2016,1.78,0,,
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2017,1.33,0,,
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2018,1.54,0,,
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2019,1.73,0,,
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2020,0.84,0,,
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2021,0.8,0,,
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2022,1.36,0,,
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2023,1.15,0,,
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2024,0.42,0,,
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2025,0.611,1,0.536,0.685
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2029,0.126,1,0.002,0.25
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2037,0,1,0,-0.615
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2047,0,1,0,-1.695
SDG2 - Zero Hunger,% of children under 5 years who are wasted,%,Wardha,2060,0,1,0,-3.098
SDG2 - Zero Hunger,% of pregnant women age 15-49 years who are anaemic (<11.0g/dl),%,Wardha,2016,43.4,0,,
SDG2 - Zero Hunger,% of pregnant women age 15-49 years who are anaemic (<11.0g/dl),%,Wardha,2020,36.5,0,,
SDG2 - Zero Hunger,% of pregnant women age 15-49 years who are anaemic (<11.0g/dl),%,Wardha,2025,27.875,1,27.875,27.875
SDG2 - Zero Hunger,% of pregnant women age 15-49 years who are anaemic (<11.0g/dl),%,Wardha,2029,20.975,1,20.975,20.975
SDG2 - Zero Hunger,% of pregnant women age 15-49 years who are anaemic (<11.0g/dl),%,Wardha,2037,7.175,1,7.175,7.175
SDG2 - Zero Hunger,% of pregnant women age 15-49 years who are anaemic (<11.0g/dl),%,Wardha,2047,0,1,0,-10.075
SDG2 - Zero Hunger,% of pregnant women age 15-49 years who are anaemic (<11.0g/dl),%,Wardha,2060,0,1,0,-32.5
SDG2 - Zero Hunger,% of women whose Body Mass Index (BMI) is below normal (BMI<18.5 kg/m2),%,Wardha,2016,29.4,0,,
SDG2 - Zero Hunger,% of women whose Body Mass Index (BMI) is below normal (BMI<18.5 kg/m2),%,Wardha,2020,17.1,0,,
SDG2 - Zero Hunger,% of women whose Body Mass Index (BMI) is below normal (BMI<18.5 kg/m2),%,Wardha,2025,1.725,1,1.725,1.725
SDG2 - Zero Hunger,% of women whose Body Mass Index (BMI) is below normal (BMI<18.5 kg/m2),%,Wardha,2029,0,1,0,-10.575
SDG2 - Zero Hunger,% of women whose Body Mass Index (BMI) is below normal (BMI<18.5 kg/m2),%,Wardha,2037,0,1,0,-35.175
SDG2 - Zero Hunger,% of women whose Body Mass Index (BMI) is below normal (BMI<18.5 kg/m2),%,Wardha,2047,0,1,0,-65.925
SDG2 - Zero Hunger,% of women whose Body Mass Index (BMI) is below normal (BMI<18.5 kg/m2),%,Wardha,2060,0,1,0,-105.9
SDG2 - Zero Hunger,Agricultural Labourers (Main) (Total) — Workers by Industry,,Arvi,2011,7141,0,,
SDG2 - Zero Hunger,Agricultural Labourers (Main) (Total) — Workers by Industry,,Wardha,2011,47636,0,,
SDG2 - Zero Hunger,Agricultural Labourers - Census 2011,Number,Arvi,2011,12300,0,,
SDG2 - Zero Hunger,Agricultural Labourers - Census 2011,Number,Wardha,2011,18200,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2016,244,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2017,508,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2018,426,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2019,458,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2020,468,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2021,415,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2022,505,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2023,418,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2024,568,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2025,540.639,1,523.039,558.239
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2029,616.706,1,587.422,645.99
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2037,768.839,1,715.06,822.618
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2047,959.006,1,874.175,1043.836
SDG2 - Zero Hunger,Agricultural productivity - Crop 1 (Kg/Ha),Kg/Ha,Wardha,2060,1206.222,1,1080.857,1331.587
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2016,440,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2017,1182.44,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2018,1528.38,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2019,1309.35,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2020,1304.19,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2021,415.31,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2022,1618,0,,
SDG2 - Zero Hunger,Agricultural productivity - Crop 2 (Kg/Ha),Kg/Ha,Wardha,2023,1191,0,,
